pop	X	Y	tempPC1	tempPC2	precipPC1	precipPC2	flowPC1	flowPC2
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
MIB	666.505671	783.250911	1.588188157	-0.175841018	1.30679836	-0.500987998	2.28433044	0.642566565
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
